complex_name,protein_path,ligand_description,protein_sequence
CHEMBL480,receptor.pdb,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,
CHEMBL247951,receptor.pdb,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,
CHEMBL1043,receptor.pdb,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,
CHEMBL110,receptor.pdb,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,
CHEMBL1200392,receptor.pdb,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O,
CHEMBL761,receptor.pdb,c1ccc2c(CC3=NCCN3)cccc2c1,
CHEMBL488,receptor.pdb,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,
CHEMBL111,receptor.pdb,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,
CHEMBL86,receptor.pdb,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,
CHEMBL849,receptor.pdb,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,
CHEMBL1200463,receptor.pdb,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1.[K+],
CHEMBL607710,receptor.pdb,NC(=O)OCC(O)COc1ccc(Cl)cc1,
CHEMBL113,receptor.pdb,Cn1c(=O)c2c(ncn2C)n(C)c1=O,
CHEMBL1472,receptor.pdb,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,
CHEMBL3989779,receptor.pdb,Cc1ncc(COP(=O)(O)O)c(CN)c1O.O.O,
CHEMBL4297379,receptor.pdb,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1C[C@H]1O[C@@H](c3ccco3)O[C@]12C(=O)C[18F],
CHEMBL2205807,receptor.pdb,Cc1ccc(-c2ccc(C)cn2)nc1,
CHEMBL298869,receptor.pdb,N=C(N)NNS(=O)(=O)c1ccc([N+](=O)[O-])cc1,
CHEMBL1872946,receptor.pdb,CC(=O)Nc1ncc([N+](=O)[O-])s1,
CHEMBL2107010,receptor.pdb,CCCOC(=O)c1ccc(N)cc1,
CHEMBL2106108,receptor.pdb,CN(C)C(=O)Oc1ccc[n+](Cc2ccccc2)c1.[Br-],
CHEMBL363387,receptor.pdb,O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2ccccc21,
CHEMBL1794955,receptor.pdb,CC(=O)O.N=C(N)Nc1ccc(C(=O)OCC(N)=O)cc1,
CHEMBL2104605,receptor.pdb,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCC(F)(F)F)NS2(=O)=O,
CHEMBL1373254,receptor.pdb,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O,
CHEMBL1562084,receptor.pdb,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,
CHEMBL298756,receptor.pdb,CN(C)S(=O)(=O)N=C(N)N,
CHEMBL2107546,receptor.pdb,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N.Cl,
CHEMBL1200405,receptor.pdb,CS(=O)(=O)O.Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,
CHEMBL1865258,receptor.pdb,NS(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,
CHEMBL2105516,receptor.pdb,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)(Cl)Cl)NS2(=O)=O,
CHEMBL2105454,receptor.pdb,CN(CCO)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,
CHEMBL1200779,receptor.pdb,CS(=O)(=O)O.N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,
CHEMBL224265,receptor.pdb,NC(=S)N/N=C/c1cccnc1,
CHEMBL65717,receptor.pdb,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,
CHEMBL3989905,receptor.pdb,CN1CC2Cc3ccc(Cl)cc3C(c3ccccc3)C2C1,
CHEMBL3182437,receptor.pdb,Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-n2ccnn2)cc1,
CHEMBL2107046,receptor.pdb,CCC(C)C(C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1.COS(=O)(=O)[O-],
CHEMBL1484857,receptor.pdb,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,
CHEMBL1200756,receptor.pdb,Cc1ncc(CO)c(CO)c1O.Cl,
