compound_id,safe_id,smiles,category,mw,logp,source
BDB_50156156,BDB_50156156,CC(O)C(O)C1CNc2c(nc(N)[nH]c2=O)N1,PAH_bioactivity,241.25,-1.7,bindingdb
BDB_50373697,BDB_50373697,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,PAH_bioactivity,241.25,-1.7,bindingdb
BDB_6644,BDB_6644,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,PAH_bioactivity,253.27,0.83,bindingdb
BDB_729096,BDB_729096,CN1CCc2cc3c(cc2C1O)OCO3,PAH_bioactivity,207.23,0.89,bindingdb
CHEMBL351823,CHEMBL351823,NC1(C(=O)O)CC2CC[C@@H]1c1ccccc12,PAH_bioactivity,217.27,1.83,chembl
CHEMBL3634670,CHEMBL3634670,c1ccc2c(c1)CSc1sccc1C2n1ccnc1,PAH_bioactivity,284.41,4.19,chembl
CID58548356,CID58548356,O=C(NC1CC1)c1ccsc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,academic_HTS_hit,420.5,3.7,pubchem
CID4915,CID4915,CNNCc1ccc(C(=O)NC(C)C)cc1,academic_HTS_hit,221.3,1.05,pubchem
CID3292,CID3292,CCN1C(=O)NC(c2ccccc2)C1=O,academic_HTS_hit,204.23,1.3,pubchem
CID1775,CID1775,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,academic_HTS_hit,252.27,1.77,pubchem
CID464,CID464,O=C(O)CNC(=O)c1ccccc1,academic_HTS_hit,179.17,0.5,pubchem
CID4909,CID4909,CCC1(c2ccccc2)C(=O)NCNC1=O,academic_HTS_hit,218.26,0.54,pubchem
CID134601,CID134601,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,academic_HTS_hit,294.31,-0.31,pubchem
CID6140,CID6140,N[C@@H](Cc1ccccc1)C(=O)O,academic_HTS_hit,165.19,0.64,pubchem
CID5426,CID5426,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,academic_HTS_hit,258.23,0.09,pubchem
CID4753,CID4753,NC(=O)NC(=O)Cc1ccccc1,academic_HTS_hit,178.19,0.42,pubchem
CID5388962,CID5388962,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,academic_HTS_hit,376.45,1.6,pubchem
CID5362119,CID5362119,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,academic_HTS_hit,405.5,1.24,pubchem
CID11450633,CID11450633,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,academic_HTS_hit,339.4,0.39,pubchem
CID5904,CID5904,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,academic_HTS_hit,334.4,0.86,pubchem
CID11149707,CID11149707,CCOC(=O)N1CCC(Nc2cc(C)ccn2)CC1,academic_HTS_hit,263.34,2.42,pubchem
CID219078,CID219078,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,academic_HTS_hit,250.3,0.45,pubchem
CID5311309,CID5311309,CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,academic_HTS_hit,317.43,3.26,pubchem
CID5462501,CID5462501,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,academic_HTS_hit,348.4,1.13,pubchem
CID3487,CID3487,CCC1(c2ccccc2)CCC(=O)NC1=O,academic_HTS_hit,217.27,1.77,pubchem
CID4060,CID4060,CCC1(c2ccccc2)NC(=O)N(C)C1=O,academic_HTS_hit,218.26,1.47,pubchem
CID4763,CID4763,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,academic_HTS_hit,232.24,0.7,pubchem
CID43672,CID43672,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,academic_HTS_hit,517.56,-0.24,pubchem
CID2349,CID2349,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,academic_HTS_hit,334.4,0.86,pubchem
CID6839,CID6839,CN1C(=O)CC(c2ccccc2)C1=O,academic_HTS_hit,189.21,1.16,pubchem
CID72172,CID72172,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,academic_HTS_hit,308.38,0.53,pubchem
CID11120251,CID11120251,CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1,academic_HTS_hit,304.38,2.78,pubchem
CID971434,CID971434,Cc1ccc(NC(=S)NCCc2ccccc2)nc1,academic_HTS_hit,271.39,2.92,pubchem
CID5288607,CID5288607,CN(Cc1cn(C)c2ccccc12)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,academic_HTS_hit,374.44,3.13,pubchem
CID11200510,CID11200510,Cc1cccc(Cl)c1NC(=O)c1cnc(Nc2cccc(NCCO)n2)s1,academic_HTS_hit,403.9,3.9,pubchem
