compound_id,safe_id,category,smiles,diffdock_confidence,consensus_score,qed,mw,logp,boltz2_status,boltz2_iptm,boltz2_ptm,boltz2_complex_plddt,boltz2_confidence_score,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_pocket_dist
CHEMBL18,CHEMBL18,approved_drug,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-0.27,0.0417570498915401,0.9002834195387214,258.32399999999996,1.3424,ok,0.8778205513954163,0.8566097021102905,0.8401941657066345,0.8477194905281067,0.2141450047492981,0.3398439884185791,7.483142485357551
CID10850461,CID10850461,academic_HTS_hit,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1,0.14,0.0450108459869848,0.8376072678219083,282.3030000000001,1.94452,ok,0.8540075421333313,0.8034026026725769,0.8246930241584778,0.8305559158325195,0.42778143286705017,0.30597326159477234,8.0985519124943
CHEMBL2104575,CHEMBL2104575,diverse_background,O=c1cc(CN2CCOCC2)c2ccc(O)cc2o1,0.15,0.0498915401301518,0.8262647247491262,261.277,1.3307999999999995,ok,0.9279919266700745,0.8734762072563171,0.828087329864502,0.8480682373046875,1.7317039966583252,0.4095430076122284,8.29778021516782
CID5091716,CID5091716,academic_HTS_hit,O=C(Nc1ccccc1C(=O)[O-])c1ccccc1,-0.28,0.0547722342733188,0.8787268148983154,240.23799999999997,1.3024,ok,0.9807909727096558,0.8946768045425415,0.8664596080780029,0.8893259167671204,2.13297700881958,0.5540112257003784,8.901149985525175
CID4616,CID4616,academic_HTS_hit,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-0.1,0.0553145336225596,0.8457292457729301,286.718,2.4479,ok,0.9693374633789062,0.8901388049125671,0.8584834337234497,0.8806542754173279,0.831498384475708,0.4054638743400574,9.08252480010071
CID11120251,CID11120251,academic_HTS_hit,CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1,-0.37,0.061822125813449,0.912913258086581,304.375,2.7750000000000004,ok,0.8642126321792603,0.8225425481796265,0.8498349785804749,0.8527105450630188,1.1781821250915527,0.25373801589012146,9.637459077560608
CID802099,CID802099,academic_HTS_hit,Cc1ccccc1C(=O)NC(=S)Nc1ncccn1,-0.04,0.0661605206073752,0.8174734142981083,272.333,1.91182,ok,0.8534562587738037,0.8982224464416504,0.8578792214393616,0.85699462890625,1.233978033065796,0.47502821683883667,8.554335955069483
CID132441,CID132441,academic_HTS_hit,NC(=O)CN1CC(c2ccccc2)CC1=O,-0.01,0.0775488069414316,0.8019987769993526,218.25599999999997,0.4877999999999995,ok,0.9687461853027344,0.9168789386749268,0.8560881018638611,0.8786197900772095,2.5633301734924316,0.18918415904045105,9.030752338148176
CHEMBL396778,CHEMBL396778,approved_drug,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,-0.23,0.0797180043383948,0.8250455320199923,302.34900000000005,2.3681,ok,0.9497281312942505,0.8866467475891113,0.8471581935882568,0.8676721453666687,0.4350559115409851,0.39482468366622925,7.4642010970971535
CID4463,CID4463,academic_HTS_hit,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-0.36,0.0813449023861171,0.8617161250864191,266.30400000000003,2.6512200000000004,ok,0.921640932559967,0.9008874893188477,0.8142974972724915,0.8357662558555603,1.1241683959960938,0.2439076453447342,8.543023534911724
CID2811386,CID2811386,BH4_analog,Cc1cnc(NC(=O)c2nccnc2C(=O)O)c(C)n1,-0.36,0.0878524945770065,0.8498061144944837,273.252,0.8339399999999998,ok,0.9020307064056396,0.9345253705978394,0.8528944849967957,0.8627217411994934,1.5891821384429932,0.31224524974823,8.529569450251676
CHEMBL488025,CHEMBL488025,diverse_background,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,-0.42,0.0905639913232104,0.8794895125490501,372.4170000000001,4.031600000000003,ok,0.9281388521194458,0.892865777015686,0.8572914004325867,0.8714609146118164,1.109487533569336,0.16313420236110687,7.99552904690951
CID58548282,CID58548282,BH4_analog,O=C(O)c1nc(C2CC2)cnc1Nc1cncnc1,-0.38,0.0959869848156182,0.8569599635914295,257.25300000000004,1.5857999999999997,ok,0.9426320195198059,0.8936312794685364,0.822997510433197,0.8469244241714478,1.6108959913253784,0.19124658405780792,8.479766644346231
CHEMBL607710,CHEMBL607710,approved_drug,NC(=O)OCC(O)COc1ccc(Cl)cc1,-0.31,0.0981561822125813,0.8160595704353588,245.662,1.1750000000000005,ok,0.9048047661781311,0.9044415354728699,0.8421831727027893,0.8547075390815735,1.2074429988861084,0.23159179091453552,6.752300583579418
CID1927420,CID1927420,academic_HTS_hit,O=C(Nc1ccccn1)C(=O)Nc1ccccn1,0.1,0.1024945770065076,0.7709025554475637,242.238,1.0537999999999998,ok,0.8881340622901917,0.8518602848052979,0.8422101736068726,0.8513949513435364,1.844773530960083,0.3660036325454712,7.416880469868784
CHEMBL1191,CHEMBL1191,approved_drug,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-0.35,0.1046637744034707,0.8173307365183631,270.339,1.2295199999999995,ok,0.9192675352096558,0.8832384943962097,0.8577151298522949,0.870025634765625,1.1408878564834595,0.5012304782867432,7.594815474891722
CID65743,CID65743,academic_HTS_hit,CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,-0.45,0.1068329718004338,0.8700726782171484,245.282,1.4428199999999998,ok,0.8989912271499634,0.8271912336349487,0.8483415842056274,0.8584715127944946,2.6884372234344482,0.13800090551376343,9.078232672710946
CID60510,CID60510,academic_HTS_hit,CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1.Cl,-0.5,0.1095444685466377,0.8920100484649185,304.82099999999997,2.641200000000001,failed,,,,,,,
CID135435192,CID135435192,BH4_analog,C[C@@H]1CCCCC1c1cnc2c(=O)[nH]cnc2n1,-0.39,0.1100867678958785,0.8324874040965605,244.298,2.0067999999999993,ok,0.9245011210441589,0.9206783771514893,0.8670950531959534,0.8785762786865234,0.5160418748855591,0.46806079149246216,8.699288343782587
CID16212222,CID16212222,academic_HTS_hit,CC(C)N(C(=O)C(=O)O)c1ccc(F)cc1,-0.12,0.1122559652928416,0.7784163073945772,225.219,1.6516999999999995,ok,0.9556237459182739,0.8624006509780884,0.8646287322044373,0.8828277587890625,1.8533337116241455,0.23506306111812592,7.940491232147574
